PATTERN: 0xff00
PING 142.250.192.142 (142.250.192.142) 56(84) bytes of data.
64 bytes from 142.250.192.142: icmp_seq=272 ttl=111 time=883 ms
64 bytes from 142.250.192.142: icmp_seq=273 ttl=111 time=686 ms
64 bytes from 142.250.192.142: icmp_seq=274 ttl=111 time=725 ms
64 bytes from 142.250.192.142: icmp_seq=275 ttl=111 time=1279 ms
64 bytes from 142.250.192.142: icmp_seq=276 ttl=111 time=1513 ms
64 bytes from 142.250.192.142: icmp_seq=278 ttl=111 time=1585 ms
64 bytes from 142.250.192.142: icmp_seq=279 ttl=111 time=1618 ms
64 bytes from 142.250.192.142: icmp_seq=280 ttl=111 time=1579 ms
64 bytes from 142.250.192.142: icmp_seq=281 ttl=111 time=1575 ms
64 bytes from 142.250.192.142: icmp_seq=282 ttl=111 time=1585 ms
64 bytes from 142.250.192.142: icmp_seq=283 ttl=111 time=1427 ms
64 bytes from 142.250.192.142: icmp_seq=284 ttl=111 time=1349 ms
64 bytes from 142.250.192.142: icmp_seq=285 ttl=111 time=905 ms
64 bytes from 142.250.192.142: icmp_seq=286 ttl=111 time=141 ms
64 bytes from 142.250.192.142: icmp_seq=287 ttl=111 time=494 ms
64 bytes from 142.250.192.142: icmp_seq=288 ttl=111 time=707 ms
64 bytes from 142.250.192.142: icmp_seq=289 ttl=111 time=380 ms
64 bytes from 142.250.192.142: icmp_seq=290 ttl=111 time=413 ms
64 bytes from 142.250.192.142: icmp_seq=291 ttl=111 time=496 ms
64 bytes from 142.250.192.142: icmp_seq=292 ttl=111 time=296 ms
64 bytes from 142.250.192.142: icmp_seq=293 ttl=111 time=192 ms
64 bytes from 142.250.192.142: icmp_seq=294 ttl=111 time=370 ms
64 bytes from 142.250.192.142: icmp_seq=295 ttl=111 time=424 ms
64 bytes from 142.250.192.142: icmp_seq=296 ttl=111 time=644 ms
64 bytes from 142.250.192.142: icmp_seq=297 ttl=111 time=127 ms
64 bytes from 142.250.192.142: icmp_seq=298 ttl=111 time=271 ms
64 bytes from 142.250.192.142: icmp_seq=299 ttl=111 time=485 ms
64 bytes from 142.250.192.142: icmp_seq=300 ttl=111 time=378 ms
64 bytes from 142.250.192.142: icmp_seq=301 ttl=111 time=251 ms
64 bytes from 142.250.192.142: icmp_seq=302 ttl=111 time=359 ms
64 bytes from 142.250.192.142: icmp_seq=303 ttl=111 time=265 ms
64 bytes from 142.250.192.142: icmp_seq=304 ttl=111 time=223 ms
64 bytes from 142.250.192.142: icmp_seq=305 ttl=111 time=160 ms
64 bytes from 142.250.192.142: icmp_seq=306 ttl=111 time=124 ms
64 bytes from 142.250.192.142: icmp_seq=307 ttl=111 time=514 ms
64 bytes from 142.250.192.142: icmp_seq=308 ttl=111 time=606 ms
64 bytes from 142.250.192.142: icmp_seq=309 ttl=111 time=562 ms
64 bytes from 142.250.192.142: icmp_seq=310 ttl=111 time=231 ms
64 bytes from 142.250.192.142: icmp_seq=311 ttl=111 time=152 ms
64 bytes from 142.250.192.142: icmp_seq=312 ttl=111 time=94.1 ms
64 bytes from 142.250.192.142: icmp_seq=313 ttl=111 time=84.7 ms
64 bytes from 142.250.192.142: icmp_seq=314 ttl=111 time=101 ms
64 bytes from 142.250.192.142: icmp_seq=315 ttl=111 time=116 ms
64 bytes from 142.250.192.142: icmp_seq=316 ttl=111 time=154 ms
64 bytes from 142.250.192.142: icmp_seq=317 ttl=111 time=356 ms
64 bytes from 142.250.192.142: icmp_seq=318 ttl=111 time=106 ms
64 bytes from 142.250.192.142: icmp_seq=319 ttl=111 time=98.2 ms
64 bytes from 142.250.192.142: icmp_seq=320 ttl=111 time=103 ms
64 bytes from 142.250.192.142: icmp_seq=321 ttl=111 time=102 ms
64 bytes from 142.250.192.142: icmp_seq=322 ttl=111 time=99.5 ms
64 bytes from 142.250.192.142: icmp_seq=323 ttl=111 time=86.3 ms
64 bytes from 142.250.192.142: icmp_seq=324 ttl=111 time=76.7 ms
64 bytes from 142.250.192.142: icmp_seq=325 ttl=111 time=80.5 ms
64 bytes from 142.250.192.142: icmp_seq=326 ttl=111 time=112 ms
64 bytes from 142.250.192.142: icmp_seq=327 ttl=111 time=71.2 ms
64 bytes from 142.250.192.142: icmp_seq=328 ttl=111 time=79.0 ms
64 bytes from 142.250.192.142: icmp_seq=329 ttl=111 time=83.3 ms
64 bytes from 142.250.192.142: icmp_seq=330 ttl=111 time=97.3 ms
64 bytes from 142.250.192.142: icmp_seq=331 ttl=111 time=88.7 ms
64 bytes from 142.250.192.142: icmp_seq=332 ttl=111 time=74.4 ms
64 bytes from 142.250.192.142: icmp_seq=333 ttl=111 time=93.6 ms
64 bytes from 142.250.192.142: icmp_seq=334 ttl=111 time=102 ms
64 bytes from 142.250.192.142: icmp_seq=335 ttl=111 time=132 ms
64 bytes from 142.250.192.142: icmp_seq=336 ttl=111 time=87.7 ms
64 bytes from 142.250.192.142: icmp_seq=337 ttl=111 time=112 ms
64 bytes from 142.250.192.142: icmp_seq=338 ttl=111 time=84.5 ms
64 bytes from 142.250.192.142: icmp_seq=339 ttl=111 time=94.2 ms
64 bytes from 142.250.192.142: icmp_seq=340 ttl=111 time=112 ms
64 bytes from 142.250.192.142: icmp_seq=341 ttl=111 time=80.5 ms
64 bytes from 142.250.192.142: icmp_seq=342 ttl=111 time=84.0 ms
64 bytes from 142.250.192.142: icmp_seq=343 ttl=111 time=77.9 ms
64 bytes from 142.250.192.142: icmp_seq=344 ttl=111 time=91.0 ms
64 bytes from 142.250.192.142: icmp_seq=345 ttl=111 time=97.2 ms
64 bytes from 142.250.192.142: icmp_seq=346 ttl=111 time=100 ms
64 bytes from 142.250.192.142: icmp_seq=347 ttl=111 time=95.3 ms
64 bytes from 142.250.192.142: icmp_seq=348 ttl=111 time=101 ms
64 bytes from 142.250.192.142: icmp_seq=349 ttl=111 time=105 ms
64 bytes from 142.250.192.142: icmp_seq=350 ttl=111 time=162 ms
64 bytes from 142.250.192.142: icmp_seq=351 ttl=111 time=72.4 ms
64 bytes from 142.250.192.142: icmp_seq=352 ttl=111 time=80.5 ms
64 bytes from 142.250.192.142: icmp_seq=353 ttl=111 time=220 ms
64 bytes from 142.250.192.142: icmp_seq=354 ttl=111 time=75.3 ms
64 bytes from 142.250.192.142: icmp_seq=355 ttl=111 time=105 ms
64 bytes from 142.250.192.142: icmp_seq=356 ttl=111 time=99.6 ms
64 bytes from 142.250.192.142: icmp_seq=357 ttl=111 time=101 ms
64 bytes from 142.250.192.142: icmp_seq=358 ttl=111 time=98.5 ms
64 bytes from 142.250.192.142: icmp_seq=359 ttl=111 time=87.5 ms
64 bytes from 142.250.192.142: icmp_seq=360 ttl=111 time=105 ms
64 bytes from 142.250.192.142: icmp_seq=361 ttl=111 time=94.9 ms
64 bytes from 142.250.192.142: icmp_seq=362 ttl=111 time=99.6 ms
64 bytes from 142.250.192.142: icmp_seq=363 ttl=111 time=104 ms
64 bytes from 142.250.192.142: icmp_seq=364 ttl=111 time=64.6 ms
64 bytes from 142.250.192.142: icmp_seq=365 ttl=111 time=103 ms
64 bytes from 142.250.192.142: icmp_seq=366 ttl=111 time=219 ms
64 bytes from 142.250.192.142: icmp_seq=367 ttl=111 time=80.4 ms
64 bytes from 142.250.192.142: icmp_seq=368 ttl=111 time=96.5 ms
64 bytes from 142.250.192.142: icmp_seq=369 ttl=111 time=85.1 ms
64 bytes from 142.250.192.142: icmp_seq=370 ttl=111 time=92.7 ms
64 bytes from 142.250.192.142: icmp_seq=371 ttl=111 time=80.5 ms
64 bytes from 142.250.192.142: icmp_seq=372 ttl=111 time=79.5 ms
